,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
164,Central Toronto,Davisville-Toronto,43.7043244,-79.3887901,Florentia Ristorante,43.703594,-79.3879846,Italian Restaurant
165,Central Toronto,Davisville-Toronto,43.7043244,-79.3887901,Positano,43.704558,-79.38863854,Italian Restaurant
166,Central Toronto,Davisville-Toronto,43.7043244,-79.3887901,Second Cup,43.704344001380505,-79.38865888961692,Coffee Shop
167,Central Toronto,Davisville-Toronto,43.7043244,-79.3887901,Pizza Pizza,43.70613821755869,-79.38929246805056,Pizza Place
168,Central Toronto,Davisville-Toronto,43.7043244,-79.3887901,Provocative Pizza Series,43.708293114505096,-79.38954603484376,Pizza Place
169,Downtown Toronto,University of Toronto / Harbord-Toronto,43.6626956,-79.4000493,Piano Piano,43.66294872979362,-79.40289804116937,Italian Restaurant
170,West Toronto,Runnymede / Swansea-Toronto,43.6515706,-79.4844499,Wibke's Espresso Bar,43.64913158497341,-79.48480237071465,Coffee Shop
171,West Toronto,Runnymede / Swansea-Toronto,43.6515706,-79.4844499,Campo,43.655191,-79.487067,Italian Restaurant
172,West Toronto,Runnymede / Swansea-Toronto,43.6515706,-79.4844499,Goodfellas Wood Oven Pizza,43.648224,-79.486356,Italian Restaurant
173,West Toronto,Runnymede / Swansea-Toronto,43.6515706,-79.4844499,Tim Hortons,43.648525791237965,-79.48506608605385,Coffee Shop
174,West Toronto,Runnymede / Swansea-Toronto,43.6515706,-79.4844499,Pizzaiolo,43.64939525764269,-79.48355965141116,Pizza Place
175,West Toronto,Runnymede / Swansea-Toronto,43.6515706,-79.4844499,Pizza Pizza,43.64931132140717,-79.48455987958097,Pizza Place
176,West Toronto,Runnymede / Swansea-Toronto,43.6515706,-79.4844499,Classico,43.649194,-79.484699,Pizza Place
177,Downtown Toronto,Kensington Market / Chinatown / Grange Park-Toronto,43.6532057,-79.4000493,Little Pebbles,43.654883,-79.400264,Coffee Shop
178,Downtown Toronto,Kensington Market / Chinatown / Grange Park-Toronto,43.6532057,-79.4000493,Maker Pizza,43.6504011331197,-79.39804047841302,Pizza Place
